?cls	?xref
<http://purl.obolibrary.org/obo/ENVO_00000100>	"TGN:21451"
<http://purl.obolibrary.org/obo/ENVO_00000100>	"Geonames:T.GRGE"
<http://purl.obolibrary.org/obo/ENVO_00000100>	"FTT:761"
<http://purl.obolibrary.org/obo/ENVO_00000100>	"TGN:21425"
<http://purl.obolibrary.org/obo/ENVO_00000100>	"FTT:166"
<http://purl.obolibrary.org/obo/ENVO_00000100>	"Geonames:T.VALS"
<http://purl.obolibrary.org/obo/ENVO_00000100>	"TGN:21452"
<http://purl.obolibrary.org/obo/ENVO_00000100>	"FTT:811"
<http://purl.obolibrary.org/obo/ENVO_00000100>	"SWEETRealm:Valley"
<http://purl.obolibrary.org/obo/ENVO_00000100>	"FTT:418"
<http://purl.obolibrary.org/obo/ENVO_00000100>	"Geonames:T.VAL"
<http://purl.obolibrary.org/obo/PO_0025127>	"PO_GIT:186"
<http://purl.obolibrary.org/obo/ENVO_01001088>	"SWEETRealm:Aerosol"
<http://purl.obolibrary.org/obo/ENVO_01000739>	"LTER:238"
<http://purl.obolibrary.org/obo/ENVO_01000739>	<https://en.wikipedia.org/wiki/Habitat>
<http://purl.obolibrary.org/obo/ENVO_01000739>	<https://github.com/EnvironmentOntology/envo-habitats>
<http://purl.obolibrary.org/obo/ENVO_01000739>	"EcoLexicon:habitat"
<http://purl.obolibrary.org/obo/ENVO_01000739>	"SWEETRealm:Habitat"
<http://purl.obolibrary.org/obo/ENVO_01000230>	"EcoLexicon:aridity"
<http://purl.obolibrary.org/obo/ENVO_00002168>	"https://en.wikipedia.org/wiki/Gold_mine"
<http://purl.obolibrary.org/obo/ENVO_00002010>	"SWEETRealm:SaltWater"
<http://purl.obolibrary.org/obo/ENVO_00002010>	"EcoLexicon:saltwater"
<http://purl.obolibrary.org/obo/ENVO_00002010>	"https://en.wikipedia.org/wiki/Saline_water"
<http://purl.obolibrary.org/obo/ENVO_00002010>	"SWEETRealm:SalineWater"
<http://purl.obolibrary.org/obo/ENVO_01000174>	"SPIRE:Forest"
<http://purl.obolibrary.org/obo/ENVO_01000174>	"LTER:212"
<http://purl.obolibrary.org/obo/PO_0009011>	"PO_GIT:57"
<http://purl.obolibrary.org/obo/ENVO_01000277>	<http://sweetontology.net/matrWater/Ice>
<http://purl.obolibrary.org/obo/ENVO_01000277>	"LTER:262"
<http://purl.obolibrary.org/obo/ENVO_01001241>	"SWEETRealm:Canopy"
<http://purl.obolibrary.org/obo/ENVO_01001241>	"https://en.wikipedia.org/wiki/Canopy"
<http://purl.obolibrary.org/obo/ENVO_01001241>	"LTER:82"
<http://purl.obolibrary.org/obo/ENVO_01001241>	"EcoLexicon:canopy"
<http://purl.obolibrary.org/obo/ENVO_01000846>	<http://sweetontology.net/matrWater/Ice>
<http://purl.obolibrary.org/obo/ENVO_00000176>	"https://en.wikipedia.org/wiki/Elevation"
<http://purl.obolibrary.org/obo/ENVO_00000176>	"SWEETRealm:Elevation"
<http://purl.obolibrary.org/obo/ENVO_00000176>	"LTER:177"
<http://purl.obolibrary.org/obo/ENVO_01001570>	"https://www.worldwildlife.org/biome-categories/terrestrial-ecoregions"
<http://purl.obolibrary.org/obo/ENVO_00000147>	"FTT:597"
<http://purl.obolibrary.org/obo/ENVO_00000147>	"Geonames:H.CRNT"
<http://purl.obolibrary.org/obo/ENVO_00000147>	"https://en.wikipedia.org/wiki/Ocean_current"
<http://purl.obolibrary.org/obo/ENVO_00000147>	"TGN:21169"
<http://purl.obolibrary.org/obo/ENVO_00000147>	"SWEETRealm:OceanCurrent"
<http://purl.obolibrary.org/obo/ENVO_00000147>	"LTER:386"
<http://purl.obolibrary.org/obo/ENVO_00000147>	"FTT:598"
<http://purl.obolibrary.org/obo/ENVO_00000147>	"EcoLexicon:ocean_current"
<http://purl.obolibrary.org/obo/ENVO_01001548>	<http://sweetontology.net/procStateChange/Freezing>
<http://purl.obolibrary.org/obo/PO_0025131>	"PO_GIT:224"
<http://purl.obolibrary.org/obo/CHEBI_36342>	"Wikipedia:Subatomic_particle"
<http://purl.obolibrary.org/obo/ENVO_00002001>	"SWEETRealm:Wastewater"
<http://purl.obolibrary.org/obo/ENVO_00002001>	"https://en.wikipedia.org/wiki/Waste_water"
<http://purl.obolibrary.org/obo/ENVO_00002001>	"EcoLexicon:waste_water"
<http://purl.obolibrary.org/obo/ENVO_00010505>	"SWEETRealm:Aerosol"
<http://purl.obolibrary.org/obo/ENVO_00010505>	"EcoLexicon:aerosol"
<http://purl.obolibrary.org/obo/ENVO_01000883>	"NLCD:21"
<http://purl.obolibrary.org/obo/ENVO_00000002>	"FTT:78"
<http://purl.obolibrary.org/obo/ENVO_00000002>	"TGN:50001"
<http://purl.obolibrary.org/obo/ENVO_00000446>	"SPIRE:Terrestrial"
<http://purl.obolibrary.org/obo/ENVO_00000446>	"LTER:798"
<http://purl.obolibrary.org/obo/ENVO_00002007>	"EcoLexicon:sedimentation"
<http://purl.obolibrary.org/obo/ENVO_00002007>	"SWEETRealm:Sediment"
<http://purl.obolibrary.org/obo/ENVO_00002007>	"https://en.wikipedia.org/wiki/Sediment"
<http://purl.obolibrary.org/obo/ENVO_00002007>	"EcoLexicon:sediment"
<http://purl.obolibrary.org/obo/ENVO_00002007>	"LTER:493"
<http://purl.obolibrary.org/obo/ENVO_00002007>	"LTER:492"
<http://purl.obolibrary.org/obo/PO_0020144>	"PO_GIT:579"
<http://purl.obolibrary.org/obo/CHEBI_64909>	"Wikipedia:Poison"
<http://purl.obolibrary.org/obo/PO_0006079>	"PO_GIT:583"
<http://purl.obolibrary.org/obo/PO_0006079>	"PO_GIT:472"
<http://purl.obolibrary.org/obo/PO_0009008>	"PATO:01503"
<http://purl.obolibrary.org/obo/PO_0009008>	"PO_GIT:55"
<http://purl.obolibrary.org/obo/ENVO_00000309>	"Geonames:T.PAN"
<http://purl.obolibrary.org/obo/ENVO_00000309>	"FTT:216"
<http://purl.obolibrary.org/obo/ENVO_00000309>	"Geonames:T.DPR"
<http://purl.obolibrary.org/obo/ENVO_00000309>	"TGN:21454"
<http://purl.obolibrary.org/obo/ENVO_00000309>	"Geonames:T.PANS"
<http://purl.obolibrary.org/obo/ENVO_00000309>	"SWEETRealm:Depression"
<http://purl.obolibrary.org/obo/ENVO_00000309>	"FTT:215"
<http://purl.obolibrary.org/obo/ENVO_00000309>	"FTT:175"
<http://purl.obolibrary.org/obo/ENVO_00000309>	"EcoLexicon:depression"
<http://purl.obolibrary.org/obo/ENVO_00000309>	"TGN:21521"
<http://purl.obolibrary.org/obo/ENVO_00000309>	"TGN:21497"
<http://purl.obolibrary.org/obo/ENVO_00000114>	"EcoLexicon:field"
<http://purl.obolibrary.org/obo/ENVO_00000114>	"Geonames:L.FLD"
<http://purl.obolibrary.org/obo/ENVO_00000114>	"TGN:21456"
<http://purl.obolibrary.org/obo/ENVO_00000114>	"SWEETRealm:Field"
<http://purl.obolibrary.org/obo/ENVO_00000114>	"FTT:61"
<http://purl.obolibrary.org/obo/ENVO_00000114>	"FTT:45"
<http://purl.obolibrary.org/obo/ENVO_00002173>	"https://en.wikipedia.org/wiki/Hospital"
<http://purl.obolibrary.org/obo/PO_0007033>	"PO_GIT:390"
<http://purl.obolibrary.org/obo/ENVO_00000111>	"TGN:21642"
<http://purl.obolibrary.org/obo/ENVO_00000111>	"FTT:258"
<http://purl.obolibrary.org/obo/ENVO_00000111>	"FTT:506"
<http://purl.obolibrary.org/obo/ENVO_00000111>	"TGN:21645"
<http://purl.obolibrary.org/obo/ENVO_00000111>	"SWEETRealm:Forest"
<http://purl.obolibrary.org/obo/ENVO_00000111>	"TGN:21641"
<http://purl.obolibrary.org/obo/ENVO_00000111>	"FTT:715"
<http://purl.obolibrary.org/obo/ENVO_00000111>	"FTT:717"
<http://purl.obolibrary.org/obo/ENVO_00000111>	"LTER:2"
<http://purl.obolibrary.org/obo/ENVO_00000111>	"EcoLexicon:forest"
<http://purl.obolibrary.org/obo/ENVO_00000111>	"https://en.wikipedia.org/wiki/Forest"
<http://purl.obolibrary.org/obo/ENVO_00000111>	"Geonames:V.FRST"
<http://purl.obolibrary.org/obo/PO_0009002>	"GO:0005623"
<http://purl.obolibrary.org/obo/PO_0009002>	"PO_GIT:56"
<http://purl.obolibrary.org/obo/ENVO_01000895>	<http://sweetontology.net/phenAtmoPrecipitation/Snowfall>
<http://purl.obolibrary.org/obo/ENVO_01001524>	"http://sweetontology.net/realmCryo/FrozenGround"
<http://purl.obolibrary.org/obo/ENVO_00002005>	"https://en.wikipedia.org/wiki/Air"
